representation,max_depth,min_samples_split,min_samples_leaf,max_features,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2
combined,,2,2,sqrt,0.7577293408485332,0.5706229604162937,0.8688498996274806,1.0921590039073927,0.838123885659416,0.6803984391312313
combined,20.0,5,2,sqrt,0.7901600733569,0.594876127721916,0.8573832350982876,1.108650926160113,0.8542028162139849,0.6706734087594675
combined,20.0,2,2,sqrt,0.7821311873825543,0.590310216182033,0.8602667932176123,1.111396558213243,0.8591702598011366,0.6690401998119897
combined,,2,4,sqrt,1.0311007094036262,0.777801309539403,0.7571474936794973,1.216857177610142,0.9516787967700633,0.6032505193808655
combined,,5,4,sqrt,1.0311007094036262,0.777801309539403,0.7571474936794973,1.216857177610142,0.9516787967700635,0.6032505193808655
combined,20.0,2,4,sqrt,1.037850968679705,0.783091604435737,0.7539573428239736,1.223131773879911,0.9551265780933975,0.5991483763647674
combined,20.0,5,4,sqrt,1.037850968679705,0.7830916044357371,0.7539573428239736,1.223131773879911,0.9551265780933975,0.5991483763647674
combined,10.0,5,1,sqrt,0.9822771554629224,0.7588638801483352,0.7796015649834043,1.2679714333782208,0.9964296148203139,0.5692194472586313
combined,10.0,2,1,sqrt,0.9577114960912914,0.7428857556823886,0.7904875575549484,1.2728079686814844,0.9973713694721641,0.5659268510575868
combined,10.0,5,2,sqrt,1.0556590657532487,0.8093871671650892,0.7454413952370946,1.2862320704000154,1.0143037160502735,0.5567223666600013
combined,10.0,2,2,sqrt,1.0489589146965643,0.8049300757343052,0.7486624513389233,1.2881619955701546,1.0139258868035521,0.5553911380379688
combined,10.0,2,4,sqrt,1.1638966583862747,0.8899658997493027,0.6905651237734753,1.3206198813849097,1.0407281367884607,0.532703193725524
combined,10.0,5,4,sqrt,1.1638966583862747,0.8899658997493027,0.6905651237734753,1.3206198813849097,1.0407281367884607,0.5327031937255241
descriptors,20.0,2,1,sqrt,0.26737900815207855,0.1945564728089114,0.9836696672365255,0.7586739832957979,0.5771735000945003,0.8457775730012396
descriptors,,2,1,sqrt,0.2674645702047065,0.19451492072637766,0.9836592140572419,0.7596677209890436,0.5788353345168348,0.8453732965592383
descriptors,20.0,5,1,sqrt,0.34264019516887123,0.25358864028619743,0.9731825773829709,0.7678179187031866,0.5876780627010127,0.8420376315367792
descriptors,,5,1,sqrt,0.3426014653618847,0.2534704309332994,0.9731886395724998,0.7692235954790986,0.5885101773338274,0.841458725314068
descriptors,10.0,5,1,sqrt,0.3798990798409715,0.28638720997850037,0.967033191763336,0.7695338518948147,0.5915641467177803,0.8413308083659159
descriptors,10.0,2,1,sqrt,0.329781852246251,0.25295963686389283,0.9751575785980898,0.7719031544371759,0.5885934785054713,0.8403522573948006
descriptors,20.0,2,2,sqrt,0.384052993724665,0.27848434412658635,0.9663083152617722,0.7722529236754896,0.592371120557509,0.8402075435916471
descriptors,20.0,5,2,sqrt,0.39603632935599364,0.2882592845938464,0.9641729976812303,0.7722745507692008,0.5911827802595216,0.8401985934285231
descriptors,,5,2,sqrt,0.39603632935599364,0.2882592845938465,0.9641729976812303,0.7722745507692009,0.5911827802595216,0.840198593428523
descriptors,,2,2,sqrt,0.38404288945848636,0.2785083362149912,0.9663100880654107,0.7724451200691276,0.592504292572381,0.840127996193079
descriptors,10.0,5,2,sqrt,0.4170132336192779,0.3073249574301276,0.96027717810619,0.7774620207519377,0.5960881927398706,0.8380445689755304
descriptors,20.0,2,4,sqrt,0.5024254770513064,0.3647181407156683,0.9423387934499421,0.7798666992802163,0.594344210777437,0.8370411681152654
